dt1 dt2 dt3 dt4 controller drones queue deliveries fullTrips revenue costs penalties avgDelTime avgWaitTime fDel fRet fLaunch collisions unknown rejectionPenalties potentialLost avgPotentialLost
Jun 12th 15:22:07.675 UTC 2 15 39 664 656 1595.903 2830.72 0 933.1755 764.7595 0 0 49 0 0 1075 542.1663 2.521704
Jun 12th 15:21:08.820 UTC 3 10 0 463 458 1170.324 2109.315 5 193.2086 8.292675 1 0 60 0 0 0 0 NaN
Jun 12th 15:21:07.663 UTC 2 15 38 658 654 1584.438 2821.176 0 932.1085 764.5664 0 0 49 0 0 1075 542.1663 2.521704
Jun 12th 15:20:08.818 UTC 3 11 0 461 456 1167.149 2102.16 5 193.5192 8.302077 1 0 60 0 0 0 0 NaN
Jun 12th 15:20:07.672 UTC 2 15 38 658 650 1584.438 2809.365 0 932.1085 764.1195 0 0 49 0 0 1075 542.1663 2.521704
Jun 12th 15:19:08.827 UTC 3 8 1 460 455 1165.379 2097.884 5 193.7695 8.338189 1 0 60 0 0 0 0 NaN
Jun 12th 15:19:07.672 UTC 2 14 37 654 650 1570.552 2809.365 0 931.4841 763.9844 0 0 49 0 0 1075 542.1663 2.521704
Jun 12th 15:18:08.828 UTC 3 7 0 459 454 1162.679 2093.557 5 193.8462 8.340254 1 0 60 0 0 0 0 NaN
Jun 12th 15:18:07.684 UTC 2 14 39 654 645 1570.552 2791.118 0 931.4841 762.9078 0 0 49 0 0 1075 542.1663 2.521704
Jun 12th 15:17:08.818 UTC 3 8 0 458 452 1158.157 2087.8 5 193.6087 8.356477 1 0 60 0 0 0 0 NaN
Jun 12th 15:17:07.661 UTC 2 15 40 649 641 1553.675 2769.275 0 930.9247 762.1976 0 0 49 0 0 1065 538.9563 2.530311
Jun 12th 15:16:08.819 UTC 3 10 0 455 450 1154.247 2082.414 5 193.8347 8.356477 1 0 60 0 0 0 0 NaN
Jun 12th 15:16:07.682 UTC 2 14 40 648 639 1552.775 2758.177 0 930.7832 761.5391 0 0 49 0 0 1050 530.1588 2.524566
